,,,,family,,,Uniprot,
PF00498,FHA domain,pfam,family,IPR000253,-,-,Q14BN4,828
PF00616,GTPase-activator protein for Ras-like GTPase,pfam,family,IPR001936,-,-,Q14C86,1478
PF02204,Vacuolar sorting protein 9 (VPS9) domain,pfam,family,IPR003123,-,-,Q14C86,1478
PF15705,"Mature oligodendrocyte transmembrane protein, TMEM132D, N-term",pfam,family,IPR031435,-,-,Q14C87,1099
PF15706,"Mature oligodendrocyte transmembrane protein, TMEM132D, C-term",pfam,family,IPR031436,-,-,Q14C87,1099
PF16070,Transmembrane protein family 132,pfam,family,IPR031437,-,-,Q14C87,1099
PF15705,"Mature oligodendrocyte transmembrane protein, TMEM132D, N-term",pfam,family,IPR031435,-,-,Q14DG7,1078
PF15706,"Mature oligodendrocyte transmembrane protein, TMEM132D, C-term",pfam,family,IPR031436,-,-,Q14DG7,1078
PF16070,Transmembrane protein family 132,pfam,family,IPR031437,-,-,Q14DG7,1078
PF06703,Microsomal signal peptidase 25 kDa subunit (SPC25),pfam,family,IPR009582,-,-,Q15005,226
PF17098,WTAP/Mum2p family,pfam,family,IPR033757,-,-,Q15007,396
PF16004,116 kDa U5 small nuclear ribonucleoprotein component N-terminus,pfam,family,IPR031950,-,-,Q15029,972
PF13890,Rab3 GTPase-activating protein catalytic subunit,pfam,family,IPR026147,-,-,Q15042,981
PF02535,ZIP Zinc transporter,pfam,family,IPR003689,-,-,Q15043,492
PF01756,Acyl-CoA oxidase,pfam,family,IPR002655,-,-,Q15067,660
PF00387,"Phosphatidylinositol-specific phospholipase C, Y domain",pfam,family,IPR001711,-,-,Q15111,1095
PF00388,"Phosphatidylinositol-specific phospholipase C, X domain",pfam,family,IPR000909,-,-,Q15111,1095
PF10436,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase,pfam,family,IPR018955,-,-,Q15118,436
PF10436,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase,pfam,family,IPR018955,-,-,Q15119,407
PF10436,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase,pfam,family,IPR018955,-,-,Q15120,406
PF04275,Phosphomevalonate kinase,pfam,family,IPR005919,-,-,Q15126,192
PF00387,"Phosphatidylinositol-specific phospholipase C, Y domain",pfam,family,IPR001711,-,-,Q15147,1175
PF00388,"Phosphatidylinositol-specific phospholipase C, X domain",pfam,family,IPR000909,-,-,Q15147,1175
PF06631,Protein of unknown function (DUF1154),pfam,family,IPR009535,-,-,Q15147,1175
PF15717,Pericentriolar material 1 C terminus,pfam,family,IPR031446,-,-,Q15154,2024
PF03095,Phosphotyrosyl phosphate activator (PTPA) protein,pfam,family,IPR004327,-,-,Q15257,358
PF00616,GTPase-activator protein for Ras-like GTPase,pfam,family,IPR001936,-,-,Q15283,850
PF08366,LLGL2,pfam,family,IPR013577,-,-,Q15334,1064
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,Q15349,733
PF01459,Eukaryotic porin,pfam,family,IPR027246,-,-,Q15388,145
PF02064,MAS20 protein import receptor,pfam,family,IPR002056,-,-,Q15388,145
PF04281,Mitochondrial import receptor subunit Tom22,pfam,family,IPR005683,-,-,Q15388,145
PF08038,TOM7 family,pfam,family,IPR012621,-,-,Q15388,145
PF10642,Mitochondrial import receptor subunit or translocase,pfam,family,IPR019603,-,-,Q15388,145
PF15184,Mitochondrial import receptor subunit TOM6 homolog,pfam,family,IPR029182,-,-,Q15388,145
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,Q15418,735
PF01805,Surp module,pfam,family,IPR000061,-,-,Q15459,793
PF12230,Pre-mRNA splicing factor PRP21 like protein,pfam,family,IPR022030,-,-,Q15459,793
PF02104,SURF1 family,pfam,family,IPR002994,-,-,Q15526,300
PF03271,EB1-like C-terminal motif,pfam,family,IPR004953,-,-,Q15555,327
PF01997,Translin family,pfam,family,IPR002848,-,-,Q15631,228
PF01805,Surp module,pfam,family,IPR000061,-,-,Q15637,639
PF03271,EB1-like C-terminal motif,pfam,family,IPR004953,-,-,Q15691,268
PF11418,Phi29 scaffolding protein,pfam,family,IPR024374,-,-,Q15691,268
PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,pfam,family,IPR002225,-,-,Q15738,373
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,Q15750,504
PF10248,Myelodysplasia-myeloid leukemia factor 1-interacting protein,pfam,family,IPR019376,-,-,Q15773,248
PF04116,Fatty acid hydroxylase,pfam,family,IPR006694,-,-,Q15800,293
PF12763,Cytoskeletal-regulatory complex EF hand,pfam,family,IPR000261,-,-,Q15811,1721
PF00957,Synaptobrevin,pfam,family,IPR042855,-,-,Q15836,100
PF01946,Thi4 family,pfam,family,-,-,-,Q16134,617
PF05187,"Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S",pfam,family,IPR007859,-,-,Q16134,617
PF01387,Synuclein,pfam,family,IPR001058,-,-,Q16143,134
PF01704,UTP--glucose-1-phosphate uridylyltransferase,pfam,family,IPR002618,-,-,Q16222,522
PF01462,Leucine rich repeat N-terminal domain,pfam,family,IPR000372,-,-,Q16288,839
PF00854,POT family,pfam,family,IPR000109,-,-,Q16348,729
PF04732,Intermediate filament head (DNA binding) region,pfam,family,IPR006821,-,-,Q16352,499
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,Q16512,942
PF02185,Hr1 repeat,pfam,family,IPR011072,-,-,Q16512,942
PF00276,Ribosomal protein L23,pfam,family,IPR013025,-,-,Q16540,153
PF06373,Cocaine and amphetamine regulated transcript protein (CART),pfam,family,IPR009106,-,-,Q16568,116
PF04790,Sarcoglycan complex subunit protein,pfam,family,IPR006875,-,-,Q16585,318
PF05782,Extracellular matrix protein 1 (ECM1),pfam,family,IPR008605,-,-,Q16610,540
PF01462,Leucine rich repeat N-terminal domain,pfam,family,IPR000372,-,-,Q16620,822
PF05739,SNARE domain,pfam,family,IPR000727,-,-,Q16623,288
PF06910,Male enhanced antigen 1 (MEA1),pfam,family,-,-,-,Q16626,185
PF16176,T-box transcription factor-associated,pfam,family,IPR032385,-,-,Q16650,682
PF02760,HIN-200/IF120x domain,pfam,family,IPR004021,-,-,Q16666,785
PF04716,ETC complex I subunit conserved region,pfam,family,IPR006806,-,-,Q16718,116
PF00122,E1-E2 ATPase,pfam,family,-,-,-,Q16720,1220
PF00689,"Cation transporting ATPase, C-terminus",pfam,family,IPR006068,-,-,Q16720,1220
PF12424,Plasma membrane calcium transporter ATPase C terminal,pfam,family,IPR022141,-,-,Q16720,1220
PF13246,Cation transport ATPase (P-type),pfam,family,-,-,-,Q16720,1220
PF04389,Peptidase family M28,pfam,family,IPR007484,-,-,Q16769,361
PF16123,Hydroxyacylglutathione hydrolase C-terminus,pfam,family,IPR032282,-,-,Q16775,308
PF01370,NAD dependent epimerase/dehydratase family,pfam,family,IPR001509,-,-,Q16795,377
PF02453,Reticulon,pfam,family,IPR003388,-,-,Q16799,776
PF12330,Haspin like kinase domain,pfam,family,-,-,-,Q16816,387
PF11548,Protein-tyrosine phosphatase receptor IA-2,pfam,family,IPR021613,-,-,Q16849,979
PF14948,RESP18 domain,pfam,family,IPR029403,-,-,Q16849,979
PF01704,UTP--glucose-1-phosphate uridylyltransferase,pfam,family,IPR002618,-,-,Q16851,508
PF01990,ATP synthase (F/14-kDa) subunit,pfam,family,IPR008218,-,-,Q16864,119
PF00201,UDP-glucoronosyl and UDP-glucosyl transferase,pfam,family,IPR002213,-,-,Q16880,541
PF04201,Tumour protein D52 family,pfam,family,IPR007327,-,-,Q16890,204
PF09731,Mitochondrial inner membrane protein,pfam,family,IPR019133,-,-,Q16891,758
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q1KMD3,747
PF15705,"Mature oligodendrocyte transmembrane protein, TMEM132D, N-term",pfam,family,IPR031435,-,-,Q24JP5,1023
PF15706,"Mature oligodendrocyte transmembrane protein, TMEM132D, C-term",pfam,family,IPR031436,-,-,Q24JP5,1023
PF16070,Transmembrane protein family 132,pfam,family,IPR031437,-,-,Q24JP5,1023
PF02181,Formin Homology 2 Domain,pfam,family,IPR015425,-,-,Q27J81,1249
PF02205,WH2 motif,pfam,family,IPR003124,-,-,Q27J81,1249
PF09758,Uncharacterised conserved protein,pfam,family,IPR019155,-,-,Q2KHT3,1053
PF14744,WASH complex subunit 7,pfam,family,IPR028282,-,-,Q2M389,1173
PF14746,"WASH complex subunit 7, C-terminal",pfam,family,IPR028283,-,-,Q2M389,1173
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,Q2NKQ1,1148
PF02759,RUN domain,pfam,family,IPR004012,-,-,Q2NKQ1,1148
PF10034,Q-cell neuroblast polarisation,pfam,family,IPR018732,-,-,Q2PZI1,675
PF00657,GDSL-like Lipase/Acylhydrolase,pfam,family,IPR001087,-,-,Q2TAA2,248
PF00534,Glycosyl transferases group 1,pfam,family,IPR001296,-,-,Q2TAA5,492
PF15924,ALG11 mannosyltransferase N-terminus,pfam,family,IPR031814,-,-,Q2TAA5,492
PF00955,HCO3- transporter family,pfam,family,IPR011531,-,-,Q2Y0W8,1093
PF09738,LRRFIP family,pfam,family,IPR019139,-,-,Q32MZ4,808
PF01704,UTP--glucose-1-phosphate uridylyltransferase,pfam,family,IPR002618,-,-,Q3KQV9,507
PF02733,Dak1 domain,pfam,family,IPR004006,-,-,Q3LXA3,575
PF02734,DAK2 domain,pfam,family,IPR004007,-,-,Q3LXA3,575
PF03031,NLI interacting factor-like phosphatase,pfam,family,IPR004274,-,-,Q3ZCQ8,353
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,Q496J9,727
PF07690,Major Facilitator Superfamily,pfam,family,IPR011701,-,-,Q496J9,727
PF00534,Glycosyl transferases group 1,pfam,family,IPR001296,-,-,Q4AE62,458
PF12038,Domain of unknown function (DUF3524),pfam,family,IPR022701,-,-,Q4AE62,458
PF03643,Vacuolar protein sorting-associated protein 26,pfam,family,IPR028934,-,-,Q4G0F5,336
PF19329,BTB/POZ domain-containing protein KCTD11/21 C-terminus,pfam,family,IPR045763,-,-,Q4G0X4,260
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,Q4G176,576
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,Q4KMP7,808
PF04547,Calcium-activated chloride channel,pfam,family,IPR049452,-,-,Q4KMQ2,910
PF16178,"Dimerisation domain of Ca+-activated chloride-channel, anoctamin",pfam,family,IPR032394,-,-,Q4KMQ2,910
PF15724,TMEM119 family,pfam,family,IPR031453,-,-,Q4V9L6,283
PF09774,Intermembrane space protein MIX23,pfam,family,IPR019171,-,-,Q4VC31,144
PF02535,ZIP Zinc transporter,pfam,family,IPR003689,-,-,Q504Y0,691
PF15250,Raftlin,pfam,family,IPR028169,-,-,Q52LD8,501
PF10239,Protein of unknown function (DUF2465),pfam,family,IPR018797,-,-,Q52LJ0,433
PF15936,Domain of unknown function (DUF4749),pfam,family,IPR031847,-,-,Q53GG5,364
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,Q53GS9,565
PF00781,Diacylglycerol kinase catalytic domain,pfam,family,IPR001206,-,-,Q53H12,422
PF03807,NADP oxidoreductase coenzyme F420-dependent,pfam,family,IPR028939,-,-,Q53H96,274
PF01722,BolA-like protein,pfam,family,IPR002634,-,-,Q53S33,107
PF03188,Eukaryotic cytochrome b561,pfam,family,IPR006593,-,-,Q53TN4,286
PF02138,Beige/BEACH domain,pfam,family,IPR000409,-,-,Q562E7,1941
PF00022,Actin,pfam,family,IPR004000,-,-,Q562R1,376
PF07051,Ovarian carcinoma immunoreactive antigen (OCIA),pfam,family,IPR009764,-,-,Q56VL3,154
PF02759,RUN domain,pfam,family,IPR004012,-,-,Q59EK9,446
PF03878,YIF1,pfam,family,IPR005578,-,-,Q5BJH7,314
PF09791,"Oxidoreductase-like protein, N-terminal",pfam,family,IPR019180,-,-,Q5BKU9,147
PF04988,A-kinase anchoring protein 95 (AKAP95),pfam,family,IPR007071,-,-,Q5BKZ1,582
PF09744,JNK_SAPK-associated protein-1,pfam,family,IPR019143,-,-,Q5EBL4,403
PF11461,Rab interacting lysosomal protein,pfam,family,IPR021563,-,-,Q5EBL4,403
PF09815,XK-related protein,pfam,family,IPR018629,-,-,Q5GH76,650
PF05527,Domain of unknown function (DUF758),pfam,family,IPR008477,-,-,Q5GJ75,292
PF04538,Brain expressed X-linked like family,pfam,family,IPR021156,-,-,Q5H9L2,206
PF04499,SIT4 phosphatase-associated protein,pfam,family,IPR007587,-,-,Q5H9R7,873
PF10568,Outer mitochondrial membrane transport complex protein,pfam,family,IPR019564,-,-,Q5HYI7,312
PF01209,ubiE/COQ5 methyltransferase family,pfam,family,-,-,-,Q5HYK3,327
PF06417,Protein of unknown function (DUF1077),pfam,family,IPR009445,-,-,Q5J8M3,183
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,Q5JR12,505
PF00675,Insulinase (Peptidase family M16),pfam,family,IPR011765,-,-,Q5JRX3,1037
PF08367,Peptidase M16C associated,pfam,family,IPR013578,-,-,Q5JRX3,1037
PF00617,RasGEF domain,pfam,family,IPR001895,-,-,Q5JS13,557
PF01411,tRNA synthetases class II (A),pfam,family,IPR018164,-,-,Q5JTZ9,985
PF02272,DHHA1 domain,pfam,family,IPR003156,-,-,Q5JTZ9,985
PF04774,Hyaluronan / mRNA binding family,pfam,family,IPR006861,-,-,Q5JVS0,413
PF16174,Intracellular hyaluronan-binding protein 4 N-terminal,pfam,family,IPR032381,-,-,Q5JVS0,413
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,Q5R372,815
PF12473,Kinesin protein,pfam,family,IPR022164,-,-,Q5R372,815
PF15257,Domain of unknown function (DUF4590),pfam,family,IPR048257,-,-,Q5RHP9,1530
PF12597,Cytochrome c oxidase assembly protein COX20,pfam,family,IPR022533,-,-,Q5RI15,118
PF00481,Protein phosphatase 2C,pfam,family,IPR001932,-,-,Q5SGD2,360
PF10184,Uncharacterized conserved protein (DUF2358),pfam,family,IPR018790,-,-,Q5SQH8,315
PF05301,"GNAT acetyltransferase, Mec-17",pfam,family,IPR007965,-,-,Q5SQI0,421
PF00498,FHA domain,pfam,family,IPR000253,-,-,Q5SW79,1584
PF15308,CEP170 C-terminus,pfam,family,IPR029300,-,-,Q5SW79,1584
PF14778,Odorant response abnormal 4-like,pfam,family,IPR029454,-,-,Q5SWX8,454
PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,-,-,Q5T0N5,605
PF02714,"Calcium-dependent channel, 7TM region, putative phosphate",pfam,family,IPR003864,-,-,Q5T3F8,832
PF13967,"Late exocytosis, associated with Golgi transport",pfam,family,IPR032880,-,-,Q5T3F8,832
PF03256,"Anaphase-promoting complex, subunit 10 (APC10)",pfam,family,IPR004939,-,-,Q5T447,861
PF08366,LLGL2,pfam,family,IPR013577,-,-,Q5T5C0,1151
PF03915,Actin interacting protein 3,pfam,family,IPR022782,-,-,Q5T5P2,1943
PF17095,Spectrin-binding region of Ca2+-Calmodulin,pfam,family,IPR031372,-,-,Q5T5Y3,1602
PF10343,Queuosine salvage protein,pfam,family,IPR019438,-,-,Q5T6V5,341
PF01480,PWI domain,pfam,family,IPR002483,-,-,Q5T8P6,1007
PF01504,Phosphatidylinositol-4-phosphate 5-Kinase,pfam,family,IPR002498,-,-,Q5T9C9,394
PF06644,ATP11 protein,pfam,family,IPR010591,-,-,Q5TC12,328
PF04664,Opioid growth factor receptor (OGFr) conserved region,pfam,family,IPR006757,-,-,Q5TC84,451
PF09668,Aspartyl protease,pfam,family,IPR019103,-,-,Q5TDH0,399
PF05761,5' nucleotidase family,pfam,family,IPR008380,-,-,Q5TFE4,455
PF15035,"Ciliary rootlet component, centrosome cohesion",pfam,family,-,-,-,Q5TZA2,2017
PF05347,Complex 1 protein (LYR family),pfam,family,IPR008011,-,-,Q5U5X0,104
PF07923,N1221-like protein,pfam,family,IPR012486,-,-,Q5VSL9,837
PF11882,Domain of unknown function (DUF3402),pfam,family,IPR021819,-,-,Q5VSL9,837
PF12146,"Serine aminopeptidase, S33",pfam,family,IPR022742,-,-,Q5VST6,288
PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,-,-,Q5VT25,1732
PF07896,Protein of unknown function (DUF1674),pfam,family,IPR012875,-,-,Q5VUM1,108
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,Q5VV63,1379
PF02338,OTU-like cysteine protease,pfam,family,IPR003323,-,-,Q5VVQ6,348
PF02145,Rap/ran-GAP,pfam,family,IPR000331,-,-,Q5VVW2,1013
PF15274,Muscular LMNA-interacting protein,pfam,family,IPR029331,-,-,Q5VWP3,993
PF00616,GTPase-activator protein for Ras-like GTPase,pfam,family,IPR001936,-,-,Q5VWQ8,1189
PF13001,Proteasome stabiliser,pfam,family,IPR024372,-,-,Q5VYK3,1845
PF04112,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase",pfam,family,IPR007244,-,-,Q5VZE5,725
PF16000,CARMIL C-terminus,pfam,family,IPR031943,-,-,Q5VZK9,1371
PF19314,Family of unknown function (DUF5917),pfam,family,IPR045669,-,-,Q5W0V3,765
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q5W111,196
PF15884,"MICOS complex subunit MIC13, QIL1",pfam,family,IPR026769,-,-,Q5XKP0,118
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q5XPI4,1314
PF00388,"Phosphatidylinositol-specific phospholipase C, X domain",pfam,family,IPR000909,-,-,Q63HM9,321
PF15255,"WASH complex subunit CAP-Z interacting, central region",pfam,family,IPR029341,-,-,Q641Q2,1341
PF01553,Acyltransferase,pfam,family,IPR002123,-,-,Q643R3,524
PF14647,FAM91 N-terminus,pfam,family,IPR028091,-,-,Q658Y4,838
PF14648,FAM91 C-terminus,pfam,family,IPR028097,-,-,Q658Y4,838
PF00566,Rab-GTPase-TBC domain,pfam,family,IPR000195,-,-,Q66K14,1250
PF02145,Rap/ran-GAP,pfam,family,IPR000331,-,-,Q684P5,730
PF04791,LMBR1-like membrane protein,pfam,family,IPR006876,-,-,Q68DH5,695
PF15795,Ectodermal ciliogenesis protein,pfam,family,IPR026673,-,-,Q69YW2,141
PF08372,Plant phosphoribosyltransferase C-terminal,pfam,family,IPR013583,-,-,Q6DN14,999
PF16000,CARMIL C-terminus,pfam,family,IPR031943,-,-,Q6F5E8,1435
PF00856,SET domain,pfam,family,IPR001214,-,-,Q6GMV2,418
PF01981,Peptidyl-tRNA hydrolase PTH2,pfam,family,IPR002833,-,-,Q6GMV3,140
PF01754,A20-like zinc finger,pfam,family,IPR002653,-,-,Q6GQQ9,843
PF02338,OTU-like cysteine protease,pfam,family,IPR003323,-,-,Q6GQQ9,843
PF02145,Rap/ran-GAP,pfam,family,IPR000331,-,-,Q6GYQ0,2036
PF16182,Putative adherens-junction anchoring region of AbLIM,pfam,family,IPR032402,-,-,Q6H8Q1,611
PF15454,Late endosomal/lysosomal adaptor and MAPK and MTOR activator,pfam,family,IPR028209,-,-,Q6IAA8,161
PF09741,Uncharacterized conserved protein (DUF2045),pfam,family,IPR019141,-,-,Q6ICG6,404
PF05742,Transport and Golgi organisation 2,pfam,family,IPR008551,-,-,Q6ICL3,276
PF05347,Complex 1 protein (LYR family),pfam,family,IPR008011,-,-,Q6IPR1,90
PF04538,Brain expressed X-linked like family,pfam,family,IPR021156,-,-,Q6IPX3,200
PF15748,"Centriole, cilia and spindle-associated",pfam,family,IPR029774,-,-,Q6IQ19,270
PF05177,RCSD region,pfam,family,IPR007850,-,-,Q6JBY9,416
PF15255,"WASH complex subunit CAP-Z interacting, central region",pfam,family,IPR029341,-,-,Q6JBY9,416
PF07690,Major Facilitator Superfamily,pfam,family,IPR011701,-,-,Q6NT16,456
PF01694,Rhomboid family,pfam,family,IPR022764,-,-,Q6NTF9,364
PF15262,Domain of unknown function (DUF4592),pfam,family,IPR028030,-,-,Q6NV74,962
PF05346,Eukaryotic membrane protein family,pfam,family,IPR008010,-,-,Q6NXT6,567
PF12926,Mitotic-spindle organizing gamma-tubulin ring associated,pfam,family,IPR024332,-,-,Q6NZ67,158
PF15237,PTRF/SDPR family,pfam,family,IPR026752,-,-,Q6NZI2,390
PF08561,Mitochondrial ribosomal protein L37,pfam,family,IPR013870,-,-,Q6P161,138
PF03062,"MBOAT, membrane-bound O-acyltransferase family",pfam,family,IPR004299,-,-,Q6P1A2,487
PF16050,Paf1 complex subunit CDC73 N-terminal,pfam,family,IPR032041,-,-,Q6P1J9,531
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,Q6P1M0,643
PF08366,LLGL2,pfam,family,IPR013577,-,-,Q6P1M3,1020
PF14956,Domain of unknown function (DUF4505),pfam,family,IPR028108,-,-,Q6P1X6,216
PF01557,Fumarylacetoacetate (FAA) hydrolase family,pfam,family,IPR011234,-,-,Q6P2I3,314
PF05653,Magnesium transporter NIPA,pfam,family,IPR008521,-,-,Q6P499,406
PF03820,Sideroflexins,pfam,family,IPR004686,-,-,Q6P4A7,337
PF01557,Fumarylacetoacetate (FAA) hydrolase family,pfam,family,IPR011234,-,-,Q6P587,224
PF12534,Pannexin-like TM region of LRRC8,pfam,family,IPR021040,-,-,Q6P9F7,803
PF12146,"Serine aminopeptidase, S33",pfam,family,IPR022742,-,-,Q6PCB6,329
PF00501,AMP-binding enzyme,pfam,family,IPR000873,-,-,Q6PCB7,646
PF10199,Alpha and gamma adaptin binding protein p34,pfam,family,-,-,-,Q6PD74,315
PF00328,Histidine phosphatase superfamily (branch 2),pfam,family,IPR000560,-,-,Q6PFW1,1433
PF10507,Transmembrane protein 65,pfam,family,IPR019537,-,-,Q6PI78,240
PF15281,Consortin C-terminus,pfam,family,IPR028129,-,-,Q6PJW8,725
PF01545,Cation efflux family,pfam,family,IPR002524,-,-,Q6PML9,568
PF05835,Synaphin protein,pfam,family,IPR008849,-,-,Q6PUV4,134
PF00955,HCO3- transporter family,pfam,family,IPR011531,-,-,Q6U841,1118
PF15045,"Clathrin-binding box of Aftiphilin, vesicle trafficking",pfam,family,IPR029205,-,-,Q6ULP2,936
PF12884,"Transducer of regulated CREB activity, N terminus",pfam,family,IPR024783,-,-,Q6UUV9,634
PF12885,Transducer of regulated CREB activity middle domain,pfam,family,IPR024784,-,-,Q6UUV9,634
PF12886,"Transducer of regulated CREB activity, C terminus",pfam,family,IPR024785,-,-,Q6UUV9,634
PF01553,Acyltransferase,pfam,family,IPR002123,-,-,Q6UWP7,414
PF16076,Acyltransferase C-terminus,pfam,family,IPR032098,-,-,Q6UWP7,414
PF01663,Type I phosphodiesterase / nucleotide pyrophosphatase,pfam,family,IPR002591,-,-,Q6UWR7,440
PF01437,Plexin repeat,pfam,family,IPR002165,-,-,Q6UX71,529
PF09769,Apolipoprotein O,pfam,family,IPR019166,-,-,Q6UXV4,268
PF10254,PACS-1 cytosolic sorting protein,pfam,family,IPR019381,-,-,Q6VY07,963
PF04387,"Protein tyrosine phosphatase-like protein, PTPLA",pfam,family,IPR007482,-,-,Q6Y1H2,254
PF02434,Fringe-like,pfam,family,IPR003378,-,-,Q6Y288,498
PF00207,Alpha-2-macroglobulin family,pfam,family,IPR001599,-,-,Q6YHK3,1445
PF00791,ZU5 domain,pfam,family,IPR000906,-,-,Q6ZN44,842
PF15903,"Filopodia upregulated, FAM65",pfam,family,IPR031780,-,-,Q6ZS17,1223
PF15855,Domain of unknown function (DUF4726),pfam,family,IPR031714,-,-,Q6ZSJ8,110
PF12832,MFS_1 like family,pfam,family,IPR024989,-,-,Q6ZSS7,791
PF02207,Putative zinc finger in N-recognin (UBR box),pfam,family,IPR003126,-,-,Q6ZT12,1888
PF15439,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter,pfam,family,IPR039482,-,-,Q6ZVC0,841
PF15452,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter,pfam,family,IPR029353,-,-,Q6ZVC0,841
PF15235,G protein-regulated inducer of neurite outgrowth C-terminus,pfam,family,IPR032745,-,-,Q6ZVF9,776
PF12877,UPF0606 protein KIAA1549,pfam,family,IPR024606,-,-,Q6ZVL6,1849
PF03062,"MBOAT, membrane-bound O-acyltransferase family",pfam,family,IPR004299,-,-,Q6ZWT7,520
PF08409,"Protein O-mannosyl-transferase TMTC, DUF1736",pfam,family,IPR013618,-,-,Q6ZXV5,915
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,Q70CQ4,1352
PF00443,Ubiquitin carboxyl-terminal hydrolase,pfam,family,IPR001394,-,-,Q70EL1,1684
PF03637,Mob1/phocein family,pfam,family,IPR005301,-,-,Q70IA6,237
PF07819,PGAP1-like protein,pfam,family,IPR012908,-,-,Q75T13,922
PF08397,IRSp53/MIM homology domain,pfam,family,IPR013606,-,-,Q765P7,747
PF00617,RasGEF domain,pfam,family,IPR001895,-,-,Q76NI1,1749
PF00622,SPRY domain,pfam,family,IPR003877,-,-,Q7KYR7,527
PF13765,SPRY-associated domain,pfam,family,IPR006574,-,-,Q7KYR7,527
PF02628,Cytochrome oxidase assembly protein,pfam,family,IPR003780,-,-,Q7KZN9,410
PF02759,RUN domain,pfam,family,IPR004012,-,-,Q7L099,469
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,Q7L0J3,742
PF07690,Major Facilitator Superfamily,pfam,family,IPR011701,-,-,Q7L0J3,742
PF01746,tRNA (Guanine-1)-methyltransferase,pfam,family,IPR016009,-,-,Q7L0Y3,403
PF00083,Sugar (and other) transporter,pfam,family,IPR005828,-,-,Q7L1I2,683
PF07690,Major Facilitator Superfamily,pfam,family,IPR011701,-,-,Q7L1I2,683
PF12534,Pannexin-like TM region of LRRC8,pfam,family,IPR021040,-,-,Q7L1W4,858
PF05994,Cytoplasmic Fragile-X interacting family,pfam,family,IPR008081,-,-,Q7L576,1253
PF02636,Putative S-adenosyl-L-methionine-dependent methyltransferase,pfam,family,IPR003788,-,-,Q7L592,441
PF01398,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,pfam,family,IPR000555,-,-,Q7L5N1,327
PF13012,Maintenance of mitochondrial structure and function,pfam,family,IPR024969,-,-,Q7L5N1,327
PF01553,Acyltransferase,pfam,family,IPR002123,-,-,Q7L5N7,544
PF03637,Mob1/phocein family,pfam,family,IPR005301,-,-,Q7L9L4,216
PF03357,Snf7,pfam,family,IPR005024,-,-,Q7LBR1,199
PF00617,RasGEF domain,pfam,family,IPR001895,-,-,Q7LDG7,609
PF01494,FAD binding domain,pfam,family,IPR002938,-,-,Q7RTP6,2002
PF03660,PHF5-like protein,pfam,family,IPR005345,-,-,Q7RTV0,110
PF01569,PAP2 superfamily,pfam,family,IPR000326,-,-,Q7Z2D5,763
PF04389,Peptidase family M28,pfam,family,IPR007484,-,-,Q7Z2K6,904
PF15235,G protein-regulated inducer of neurite outgrowth C-terminus,pfam,family,IPR032745,-,-,Q7Z2K8,1008
PF00644,Poly(ADP-ribose) polymerase catalytic domain,pfam,family,IPR012317,-,-,Q7Z2W4,902
PF02825,WWE domain,pfam,family,IPR004170,-,-,Q7Z2W4,902
PF00829,Ribosomal prokaryotic L21 protein,pfam,family,IPR028909,-,-,Q7Z2W9,205
PF04109,Autophagy protein ATG9,pfam,family,IPR007241,-,-,Q7Z3C6,839
PF07286,D-glutamate cyclase,pfam,family,IPR009906,-,-,Q7Z3D6,616
PF03184,DDE superfamily endonuclease,pfam,family,IPR004875,-,-,Q7Z3K3,1410
PF16206,C-terminal region of Mon2 protein,pfam,family,IPR032817,-,-,Q7Z3U7,1717
PF15293,FMR1-interacting protein 2,pfam,family,IPR032747,-,-,Q7Z417,695
