,,,,domain,,,Uniprot,
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,Q15691,268
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,Q15700,870
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q15700,870
PF00625,Guanylate kinase,pfam,domain,IPR008145,-,-,Q15700,870
PF10600,PDZ-associated domain of NMDA receptors,pfam,domain,IPR019583,-,-,Q15700,870
PF10608,Polyubiquitination (PEST) N-terminal domain of MAGUK,pfam,domain,IPR019590,-,-,Q15700,870
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,Q15717,326
PF00085,Thioredoxin,pfam,domain,IPR013766,-,-,Q15717,326
PF17751,SKICH domain,pfam,domain,IPR041611,-,-,Q15735,1006
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,Q15746,1914
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q15746,1914
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,Q15746,1914
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,Q15750,504
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q15759,364
PF00812,Ephrin,pfam,domain,IPR001799,-,-,Q15768,340
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q15771,203
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,Q15811,1721
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q15811,1721
PF00621,RhoGEF domain,pfam,domain,IPR000219,-,-,Q15811,1721
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,Q15811,1721
PF13426,PAS domain,pfam,domain,IPR000014,-,-,Q15811,1721
PF14604,Variant SH3 domain,pfam,domain,IPR001452,-,-,Q15811,1721
PF16652,Pleckstrin homology domain,pfam,domain,IPR001849,-,-,Q15811,1721
PF01302,CAP-Gly domain,pfam,domain,IPR000938,-,-,Q15813,527
PF14560,Ubiquitin-like domain,pfam,domain,IPR000626,-,-,Q15813,527
PF07986,Tubulin binding cofactor C,pfam,domain,IPR012945,-,-,Q15814,346
PF16752,Tubulin-specific chaperone C N-terminal domain,pfam,domain,IPR031925,-,-,Q15814,346
PF00354,Pentaxin family,pfam,domain,IPR001759,-,-,Q15818,432
PF00179,Ubiquitin-conjugating enzyme,pfam,domain,IPR000608,-,-,Q15819,145
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q15831,433
PF00240,Ubiquitin family,pfam,domain,IPR000626,-,-,Q15843,81
PF05827,"V-type proton ATPase subunit S1, luminal domain",pfam,domain,IPR046755,-,-,Q15904,470
PF20520,V0 complex accessory subunit Ac45/VOA1 transmembrane domain,pfam,domain,IPR046756,-,-,Q15904,470
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q15907,218
PF00412,LIM domain,pfam,domain,IPR001781,-,-,Q15942,572
PF21162,"ETF-QO, ubiquinone-binding",pfam,domain,IPR049398,-,-,Q16134,617
PF00735,Septin,pfam,domain,IPR030379,-,-,Q16181,437
PF04683,"Proteasome complex subunit Rpn13, Pru domain",pfam,domain,IPR044868,-,-,Q16186,407
PF16550,UCH-binding domain,pfam,domain,IPR032368,-,-,Q16186,407
PF00219,Insulin-like growth factor binding protein,pfam,domain,IPR000867,-,-,Q16270,282
PF07648,Kazal-type serine protease inhibitor domain,pfam,domain,IPR002350,-,-,Q16270,282
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,Q16270,282
PF00047,Immunoglobulin domain,pfam,domain,IPR013151,-,-,Q16288,839
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,Q16288,839
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,Q16288,839
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q16512,942
PF00412,LIM domain,pfam,domain,IPR001781,-,-,Q16527,193
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q16539,360
PF00149,Calcineurin-like phosphoesterase,pfam,domain,IPR004843,-,-,Q16543,378
PF03234,Cdc37 N terminal kinase binding,pfam,domain,IPR013855,-,-,Q16543,378
PF08564,Cdc37 C terminal domain,pfam,domain,IPR013873,-,-,Q16543,378
PF08565,Cdc37 Hsp90 binding domain,pfam,domain,IPR013874,-,-,Q16543,378
PF01979,Amidohydrolase family,pfam,domain,IPR006680,-,-,Q16555,572
PF01284,Membrane-associating domain,pfam,domain,IPR008253,-,-,Q16563,259
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q16566,473
PF01491,Frataxin-like domain,pfam,domain,IPR002908,-,-,Q16595,210
PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,-,-,Q16620,822
PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,-,-,Q16620,822
PF00804,Syntaxin,pfam,domain,IPR006011,-,-,Q16623,288
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,Q16629,238
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,Q16630,551
PF00241,Cofilin/tropomyosin-type actin-binding protein,pfam,domain,IPR002108,-,-,Q16643,649
PF00907,T-box,pfam,domain,IPR046360,-,-,Q16650,682
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,Q16653,247
PF06268,Fascin domain,pfam,domain,IPR022768,-,-,Q16658,493
PF02758,PAAD/DAPIN/Pyrin domain,pfam,domain,IPR004020,-,-,Q16666,785
PF13561,Enoyl-(Acyl carrier protein) reductase,pfam,domain,-,-,-,Q16698,335
PF00690,"Cation transporter/ATPase, N-terminus",pfam,domain,IPR004014,-,-,Q16720,1220
PF00702,haloacid dehalogenase-like hydrolase,pfam,domain,-,-,-,Q16720,1220
PF00574,Clp protease,pfam,domain,IPR023562,-,-,Q16740,277
PF00581,Rhodanese-like domain,pfam,domain,IPR001763,-,-,Q16762,297
PF00155,Aminotransferase class I and II,pfam,domain,IPR004839,-,-,Q16773,422
PF00625,Guanylate kinase,pfam,domain,IPR008145,-,-,Q16774,197
PF00753,Metallo-beta-lactamase superfamily,pfam,domain,IPR001279,-,-,Q16775,308
PF00390,"Malic enzyme, N-terminal domain",pfam,domain,IPR012301,-,-,Q16798,604
PF03949,"Malic enzyme, NAD binding domain",pfam,domain,IPR012302,-,-,Q16798,604
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q16816,387
PF00821,Phosphoenolpyruvate carboxykinase C-terminal P-loop domain,pfam,domain,IPR035077,-,-,Q16822,640
PF17297,Phosphoenolpyruvate carboxykinase N-terminal domain,pfam,domain,IPR035078,-,-,Q16822,640
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,Q16827,1216
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,Q16827,1216
PF00725,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain",pfam,domain,IPR006108,-,-,Q16836,314
PF02737,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",pfam,domain,IPR006176,-,-,Q16836,314
PF00102,Protein-tyrosine phosphatase,pfam,domain,IPR000242,-,-,Q16849,979
PF01179,"Copper amine oxidase, enzyme domain",pfam,domain,IPR015798,-,-,Q16853,763
PF02727,"Copper amine oxidase, N2 domain",pfam,domain,IPR015800,-,-,Q16853,763
PF02728,"Copper amine oxidase, N3 domain",pfam,domain,IPR015802,-,-,Q16853,763
PF01712,Deoxynucleoside kinase,pfam,domain,IPR031314,-,-,Q16854,277
PF01026,TatD related DNase,pfam,domain,IPR001130,-,-,Q17R31,274
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,Q17R89,818
PF03114,BAR domain,pfam,domain,IPR004148,-,-,Q17R89,818
PF16366,Cytoplasmic polyadenylation element-binding protein ZZ domain,pfam,domain,IPR032296,-,-,Q17RY0,729
PF16367,RNA recognition motif,pfam,domain,IPR000504,-,-,Q17RY0,729
PF02037,SAP domain,pfam,domain,IPR003034,-,-,Q1KMD3,747
PF13671,AAA domain,pfam,domain,-,-,-,Q1KMD3,747
PF19439,CLEC16A C-terminal,pfam,domain,IPR045820,-,-,Q2KHT3,1053
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q2M2I8,961
PF14745,"WASH complex subunit 4, N-terminal",pfam,domain,IPR028191,-,-,Q2M389,1173
PF12068,Rab-binding domain (RBD),pfam,domain,IPR021935,-,-,Q2NKQ1,1148
PF10256,Golgin subfamily A member 7/ERF4 family,pfam,domain,IPR019383,-,-,Q2TAP0,167
PF17814,LisH-like dimerisation domain,pfam,domain,-,-,-,Q2TAY7,513
PF09333,"ATG2/VPS13, C terminal domain",pfam,domain,IPR015412,-,-,Q2TAZ0,1938
PF12624,"VPS13-like, N-terminal",pfam,domain,IPR026854,-,-,Q2TAZ0,1938
PF07565,Band 3 cytoplasmic domain,pfam,domain,IPR013769,-,-,Q2Y0W8,1093
PF00494,Squalene/phytoene synthase,pfam,domain,IPR002060,-,-,Q330K2,333
PF09793,Anticodon-binding domain,pfam,domain,IPR019181,-,-,Q3MHD2,195
PF21166,"LSM12, LSM domain",pfam,domain,IPR048478,-,-,Q3MHD2,195
PF03109,ABC1 atypical kinase-like domain,pfam,domain,IPR004147,-,-,Q3MIX3,580
PF00106,short chain dehydrogenase,pfam,domain,IPR002347,-,-,Q3SXM5,330
PF19047,HOOK domain,pfam,domain,IPR043936,-,-,Q3V6T2,1871
PF08477,"Ras of Complex, Roc, domain of DAPkinase",pfam,domain,-,-,-,Q3YEC7,729
PF00091,"Tubulin/FtsZ family, GTPase domain",pfam,domain,IPR003008,-,-,Q3ZCM7,444
PF03953,Tubulin C-terminal domain,pfam,domain,IPR018316,-,-,Q3ZCM7,444
PF00337,Galactoside-binding lectin,pfam,domain,IPR001079,-,-,Q3ZCW2,172
PF00855,PWWP domain,pfam,domain,IPR000313,-,-,Q49A26,553
PF03446,NAD binding domain of 6-phosphogluconate dehydrogenase,pfam,domain,IPR006115,-,-,Q49A26,553
PF14833,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase,pfam,domain,IPR029154,-,-,Q49A26,553
PF06747,CHCH domain,pfam,domain,IPR010625,-,-,Q49B96,90
PF01513,ATP-NAD kinase N-terminal domain,pfam,domain,IPR002504,-,-,Q4G0N4,442
PF02214,BTB/POZ domain,pfam,domain,IPR003131,-,-,Q4G0X4,260
PF13193,AMP-binding enzyme C-terminal domain,pfam,domain,IPR025110,-,-,Q4G176,576
PF00326,Prolyl oligopeptidase family,pfam,domain,IPR001375,-,-,Q4J6C6,727
PF00397,WW domain,pfam,domain,IPR001202,-,-,Q4VCS5,1084
PF18292,Zinc transporter ZIP4 domain,pfam,domain,IPR041137,-,-,Q504Y0,691
PF21116,Zip protein EF-hand,pfam,domain,IPR049406,-,-,Q504Y0,691
PF00107,Zinc-binding dehydrogenase,pfam,domain,IPR013149,-,-,Q53FA7,332
PF08240,Alcohol dehydrogenase GroES-like domain,pfam,domain,IPR013154,-,-,Q53FA7,332
PF05603,"Hikeshi-like, N-terminal domain",pfam,domain,IPR008493,-,-,Q53FT3,197
PF21057,"Hikeshi-like, C-terminal domain",pfam,domain,IPR048364,-,-,Q53FT3,197
PF00412,LIM domain,pfam,domain,IPR001781,-,-,Q53GG5,364
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q53GG5,364
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q53GL0,409
PF00106,short chain dehydrogenase,pfam,domain,IPR002347,-,-,Q53GQ0,312
PF02148,Zn-finger in ubiquitin-hydrolases and other protein,pfam,domain,IPR001607,-,-,Q53GS9,565
PF00651,BTB/POZ domain,pfam,domain,IPR000210,-,-,Q53GT1,634
PF07707,BTB And C-terminal Kelch,pfam,domain,IPR011705,-,-,Q53GT1,634
PF19712,Acylglycerol kinase C-terminal,pfam,domain,IPR045579,-,-,Q53H12,422
PF00753,Metallo-beta-lactamase superfamily,pfam,domain,IPR001279,-,-,Q53H82,288
PF17778,Beta-lactamase associated winged helix domain,pfam,domain,IPR041516,-,-,Q53H82,288
PF14748,Pyrroline-5-carboxylate reductase dimerisation,pfam,domain,IPR029036,-,-,Q53H96,274
PF13975,gag-polyprotein putative aspartyl protease,pfam,domain,-,-,-,Q53RT3,343
PF00787,PX domain,pfam,domain,IPR001683,-,-,Q53T59,392
PF21673,CCDC93 protein N-terminal domain,pfam,domain,IPR048747,-,-,Q567U6,631
PF07686,Immunoglobulin V-set domain,pfam,domain,IPR013106,-,-,Q5DX21,431
PF13927,Immunoglobulin domain,pfam,domain,-,-,-,Q5DX21,431
PF00561,alpha/beta hydrolase fold,pfam,domain,IPR000073,-,-,Q5EB52,335
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q5EBL8,140
PF02223,Thymidylate kinase,pfam,domain,IPR039430,-,-,Q5EBM0,449
PF00632,HECT-domain (ubiquitin-transferase),pfam,domain,IPR000569,-,-,Q5GLZ8,1057
PF17171,"Glutathione S-transferase, C-terminal domain",pfam,domain,IPR033468,-,-,Q5HYI7,312
PF08477,"Ras of Complex, Roc, domain of DAPkinase",pfam,domain,-,-,-,Q5HYI8,236
PF00749,"tRNA synthetases class I (E and Q), catalytic domain",pfam,domain,IPR020058,-,-,Q5JPH6,523
PF19269,Anticodon binding domain,pfam,domain,IPR045462,-,-,Q5JPH6,523
PF00076,RNA recognition motif,pfam,domain,IPR000504,-,-,Q5JQF8,200
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,Q5JRA6,1907
PF05193,Peptidase M16 inactive domain,pfam,domain,IPR007863,-,-,Q5JRX3,1037
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q5JS13,557
PF02297,Cytochrome oxidase c subunit VIb,pfam,domain,IPR048280,-,-,Q5JTJ3,125
PF05609,"Lamina-associated polypeptide 1, AAA+ activator domain",pfam,domain,IPR046753,-,-,Q5JTV8,583
PF20443,"Lamina-associated polypeptide 1, N-terminal",pfam,domain,IPR046754,-,-,Q5JTV8,583
PF07973,Threonyl and Alanyl tRNA synthetase second additional domain,pfam,domain,IPR012947,-,-,Q5JTZ9,985
PF01369,Sec7 domain,pfam,domain,IPR000904,-,-,Q5JU85,1488
PF16453,PH domain,pfam,domain,IPR033742,-,-,Q5JU85,1488
PF00503,G-protein alpha subunit,pfam,domain,IPR001019,-,-,Q5JWF2,1037
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,Q5M775,1068
PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,-,-,Q5PRF9,694
PF14560,Ubiquitin-like domain,pfam,domain,IPR000626,-,-,Q5QJ74,424
PF00640,Phosphotyrosine interaction domain (PTB/PID),pfam,domain,IPR006020,-,-,Q5R372,815
PF02893,GRAM domain,pfam,domain,IPR004182,-,-,Q5SQN1,464
PF21094,Nup188 SH3-like domain,pfam,domain,-,-,-,Q5SRE5,1749
PF05721,Phytanoyl-CoA dioxygenase (PhyH),pfam,domain,IPR008775,-,-,Q5SRE7,291
PF00538,linker histone H1 and H5 family,pfam,domain,IPR005818,-,-,Q5SSJ5,553
PF00650,CRAL/TRIO domain,pfam,domain,IPR001251,-,-,Q5SYC1,327
PF03765,"CRAL/TRIO, N-terminal domain",pfam,domain,IPR011074,-,-,Q5SYC1,327
PF01261,Xylose isomerase-like TIM barrel,pfam,domain,IPR013022,-,-,Q5T013,277
PF12456,Inositol phosphatase,pfam,domain,IPR022158,-,-,Q5T0D9,272
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q5T0F9,858
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,Q5T0N5,605
PF03061,Thioesterase superfamily,pfam,domain,IPR006683,-,-,Q5T1C6,240
PF00254,FKBP-type peptidyl-prolyl cis-trans isomerase,pfam,domain,IPR001179,-,-,Q5T1M5,1219
PF08427,"Armadillo-like helical domain-containing protein 3, C-terminal",pfam,domain,IPR013636,-,-,Q5T2E6,689
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,Q5T2T1,576
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q5T2T1,576
PF00625,Guanylate kinase,pfam,domain,IPR008145,-,-,Q5T2T1,576
PF02828,L27 domain,pfam,domain,IPR014775,-,-,Q5T2T1,576
PF09058,L27_1,pfam,domain,IPR015143,-,-,Q5T2T1,576
PF14703,Cytosolic domain of 10TM putative phosphate transporter,pfam,domain,IPR027815,-,-,Q5T3F8,832
PF00632,HECT-domain (ubiquitin-transferase),pfam,domain,IPR000569,-,-,Q5T447,861
PF01363,FYVE zinc finger,pfam,domain,IPR000306,-,-,Q5T4F4,411
PF00169,PH domain,pfam,domain,IPR001849,-,-,Q5T5U3,1958
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,Q5T5U3,1958
PF17820,PDZ domain,pfam,domain,IPR041489,-,-,Q5T5U3,1958
PF08683,Microtubule-binding calmodulin-regulated spectrin-associated,pfam,domain,IPR014797,-,-,Q5T5Y3,1602
PF11971,CAMSAP CH domain,pfam,domain,IPR022613,-,-,Q5T5Y3,1602
PF00181,"Ribosomal Proteins L2, RNA binding domain",pfam,domain,IPR022666,-,-,Q5T653,305
PF03947,"Ribosomal Proteins L2, C-terminal domain",pfam,domain,IPR022669,-,-,Q5T653,305
PF01202,Shikimate kinase,pfam,domain,IPR031322,-,-,Q5T6J7,187
PF00003,7 transmembrane sweet-taste receptor of 3 GCPR,pfam,domain,IPR017978,-,-,Q5T848,1215
PF01353,Green fluorescent protein,pfam,domain,IPR011584,-,-,Q5T848,1215
PF00887,Acyl CoA binding protein,pfam,domain,IPR000582,-,-,Q5T8D3,534
PF08718,Glycolipid transfer protein (GLTP),pfam,domain,IPR014830,-,-,Q5TA50,214
PF00397,WW domain,pfam,domain,IPR001202,-,-,Q5TCQ9,1481
PF00595,PDZ domain,pfam,domain,IPR001478,-,-,Q5TCQ9,1481
PF00625,Guanylate kinase,pfam,domain,IPR008145,-,-,Q5TCQ9,1481
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q5TCY1,1321
PF00018,SH3 domain,pfam,domain,IPR001452,-,-,Q5TCZ1,1133
PF00787,PX domain,pfam,domain,IPR001683,-,-,Q5TCZ1,1133
PF07653,Variant SH3 domain,pfam,domain,IPR001452,-,-,Q5TCZ1,1133
PF00240,Ubiquitin family,pfam,domain,IPR000626,-,-,Q5TDH0,399
PF08241,Methyltransferase domain,pfam,domain,IPR013216,-,-,Q5TEU4,345
PF04418,Domain of unknown function (DUF543),pfam,domain,IPR007512,-,-,Q5TGZ0,78
PF05118,Aspartyl/Asparaginyl beta-hydroxylase,pfam,domain,IPR007803,-,-,Q5U4P2,390
PF00788,Ras association (RalGDS/AF-6) domain,pfam,domain,IPR000159,-,-,Q5U651,963
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q5VT25,1732
PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,-,-,Q5VT25,1732
PF00959,Phage lysozyme,pfam,domain,IPR002196,-,-,Q5VT66,337
PF03473,MOSC domain,pfam,domain,IPR005302,-,-,Q5VT66,337
PF03476,MOSC N-terminal beta barrel domain,pfam,domain,IPR005303,-,-,Q5VT66,337
PF03372,Endonuclease/Exonuclease/phosphatase family,pfam,domain,IPR005135,-,-,Q5VTE6,544
PF19339,Protein angel homolog 2 N-terminal,pfam,domain,IPR045816,-,-,Q5VTE6,544
PF00097,"Zinc finger, C3HC4 type (RING finger)",pfam,domain,IPR018957,-,-,Q5VTR2,975
PF10577,"FAM171A1/A2/B, N-terminal",pfam,domain,IPR048530,-,-,Q5VUB5,890
PF20771,FAM171A1/A2/B C-terminal,pfam,domain,IPR049175,-,-,Q5VUB5,890
PF00431,CUB domain,pfam,domain,IPR000859,-,-,Q5VV63,1379
PF21403,"OTU1, UBXL domain",pfam,domain,-,-,-,Q5VVQ6,348
PF00787,PX domain,pfam,domain,IPR001683,-,-,Q5VWJ9,437
PF03114,BAR domain,pfam,domain,IPR004148,-,-,Q5VWJ9,437
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q5VWQ8,1189
PF12004,"Disabled homolog 2-interacting protein, C-terminal domain",pfam,domain,IPR021887,-,-,Q5VWQ8,1189
PF00386,C1q domain,pfam,domain,IPR001073,-,-,Q5VWW1,255
PF00013,KH domain,pfam,domain,IPR004088,-,-,Q5VWX1,349
PF16274,Qua1 domain,pfam,domain,IPR032571,-,-,Q5VWX1,349
PF16568,Tyrosine-rich domain of Sam68,pfam,domain,IPR032335,-,-,Q5VWX1,349
PF02230,Phospholipase/Carboxylesterase,pfam,domain,IPR003140,-,-,Q5VWZ2,237
PF17888,Carmil pleckstrin homology domain,pfam,domain,IPR041245,-,-,Q5VZK9,1371
PF04670,Gtr1/RagA G protein conserved region,pfam,domain,IPR006762,-,-,Q5VZM2,374
PF13920,"Zinc finger, C3HC4 type (RING finger)",pfam,domain,-,-,-,Q5XPI4,1314
PF12014,Cyclin D1 binding domain,pfam,domain,-,-,-,Q5XUX0,539
PF12937,F-box-like,pfam,domain,IPR001810,-,-,Q5XUX0,539
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,Q63HR2,1409
PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,-,-,Q63HR2,1409
PF08416,Phosphotyrosine-binding domain,pfam,domain,IPR013625,-,-,Q63HR2,1409
PF10409,C2 domain of PTEN tumour-suppressor protein,pfam,domain,IPR014020,-,-,Q63HR2,1409
PF02893,GRAM domain,pfam,domain,IPR004182,-,-,Q66K14,1250
PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,-,-,Q674X7,775
PF07647,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,-,-,Q674X7,775
PF21022,Rap/Ran-GAP protein dimerization domain,pfam,domain,-,-,-,Q684P5,730
PF00017,SH2 domain,pfam,domain,IPR000980,-,-,Q68CZ2,1445
PF08416,Phosphotyrosine-binding domain,pfam,domain,IPR013625,-,-,Q68CZ2,1445
PF10409,C2 domain of PTEN tumour-suppressor protein,pfam,domain,IPR014020,-,-,Q68CZ2,1445
PF00753,Metallo-beta-lactamase superfamily,pfam,domain,IPR001279,-,-,Q68D91,279
PF02214,BTB/POZ domain,pfam,domain,IPR003131,-,-,Q68DU8,428
PF00620,RhoGAP domain,pfam,domain,IPR000198,-,-,Q68EM7,881
PF03114,BAR domain,pfam,domain,IPR004148,-,-,Q68EM7,881
PF00307,Calponin homology (CH) domain,pfam,domain,IPR001715,-,-,Q69YQ0,1117
PF00175,Oxidoreductase NAD-binding domain,pfam,domain,IPR001433,-,-,Q6BCY4,276
PF00970,Oxidoreductase FAD-binding domain,pfam,domain,IPR008333,-,-,Q6BCY4,276
PF12624,"VPS13-like, N-terminal",pfam,domain,IPR026854,-,-,Q6BDS2,1440
PF02263,"Guanylate-binding protein, N-terminal domain",pfam,domain,IPR015894,-,-,Q6DD88,541
PF02841,"Guanylate-binding protein, C-terminal domain",pfam,domain,IPR003191,-,-,Q6DD88,541
PF13848,Thioredoxin-like domain,pfam,domain,-,-,-,Q6DKJ4,435
PF13905,Thioredoxin-like,pfam,domain,IPR012336,-,-,Q6DKJ4,435
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q6DN14,999
PF01369,Sec7 domain,pfam,domain,IPR000904,-,-,Q6DN90,963
PF16453,PH domain,pfam,domain,IPR033742,-,-,Q6DN90,963
PF00008,EGF-like domain,pfam,domain,IPR000742,-,-,Q6EMK4,673
PF17888,Carmil pleckstrin homology domain,pfam,domain,IPR041245,-,-,Q6F5E8,1435
PF05093,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis",pfam,domain,IPR046408,-,-,Q6FI81,312
PF20922,"Anamorsin, N-terminal",pfam,domain,IPR049011,-,-,Q6FI81,312
PF14555,UBA-like domain,pfam,domain,-,-,-,Q6GQQ9,843
PF20412,RALGAPB N-terminal domain,pfam,domain,IPR046859,-,-,Q6GYQ0,2036
PF00412,LIM domain,pfam,domain,IPR001781,-,-,Q6H8Q1,611
PF02209,Villin headpiece domain,pfam,domain,IPR003128,-,-,Q6H8Q1,611
PF00106,short chain dehydrogenase,pfam,domain,IPR002347,-,-,Q6IAN0,325
PF00241,Cofilin/tropomyosin-type actin-binding protein,pfam,domain,IPR002108,-,-,Q6IBS0,349
PF05903,PPPDE putative peptidase domain,pfam,domain,IPR008580,-,-,Q6ICB0,168
PF05118,Aspartyl/Asparaginyl beta-hydroxylase,pfam,domain,IPR007803,-,-,Q6ICH7,369
PF12706,Beta-lactamase superfamily domain,pfam,domain,IPR001279,-,-,Q6IQ20,393
PF00071,Ras family,pfam,domain,IPR001806,-,-,Q6IQ22,244
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,Q6KCM7,469
PF13833,EF-hand domain pair,pfam,domain,IPR002048,-,-,Q6KCM7,469
PF03372,Endonuclease/Exonuclease/phosphatase family,pfam,domain,IPR005135,-,-,Q6L8Q7,609
PF21171,"2',5'-phosphodiesterase 12-like, N-terminal domain",pfam,domain,IPR048821,-,-,Q6L8Q7,609
PF13499,EF-hand domain pair,pfam,domain,IPR002048,-,-,Q6NUK1,477
PF13450,NAD(P)-binding Rossmann-like domain,pfam,domain,-,-,-,Q6NUM9,610
PF16113,Enoyl-CoA hydratase/isomerase,pfam,domain,IPR045004,-,-,Q6NVY1,386
PF05179,"RNA pol II accessory factor, Cdc73 family, C-terminal",pfam,domain,IPR031336,-,-,Q6P1J9,531
PF00238,Ribosomal protein L14p/L23e,pfam,domain,IPR000218,-,-,Q6P1L8,145
PF13193,AMP-binding enzyme C-terminal domain,pfam,domain,IPR025110,-,-,Q6P1M0,643
PF00168,C2 domain,pfam,domain,IPR000008,-,-,Q6P1N0,951
PF01026,TatD related DNase,pfam,domain,IPR001130,-,-,Q6P1N9,297
PF07766,"LETM1-like, RBD",pfam,domain,IPR033122,-,-,Q6P1Q0,360
PF21289,"Enhancer of mRNA-decapping protein 4, C-terminal",pfam,domain,IPR049404,-,-,Q6P2E9,1401
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q6P2M8,343
PF12937,F-box-like,pfam,domain,IPR001810,-,-,Q6P3S6,717
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q6P3W7,929
PF00111,2Fe-2S iron-sulfur cluster binding domain,pfam,domain,IPR001041,-,-,Q6P4F2,183
PF13532,2OG-Fe(II) oxygenase superfamily,pfam,domain,IPR027450,-,-,Q6P6C2,394
PF10577,"FAM171A1/A2/B, N-terminal",pfam,domain,IPR048530,-,-,Q6P995,826
PF20771,FAM171A1/A2/B C-terminal,pfam,domain,IPR049175,-,-,Q6P995,826
PF07534,TLD,pfam,domain,IPR006571,-,-,Q6P9B6,456
PF00041,Fibronectin type III domain,pfam,domain,IPR003961,-,-,Q6PCB0,445
PF00092,von Willebrand factor type A domain,pfam,domain,IPR002035,-,-,Q6PCB0,445
PF13193,AMP-binding enzyme C-terminal domain,pfam,domain,IPR025110,-,-,Q6PCB7,646
PF02878,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I",pfam,domain,IPR005844,-,-,Q6PCE3,622
PF02879,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II",pfam,domain,IPR005845,-,-,Q6PCE3,622
PF02880,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III",pfam,domain,IPR005846,-,-,Q6PCE3,622
PF18086,Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain,pfam,domain,IPR040557,-,-,Q6PFW1,1433
PF00069,Protein kinase domain,pfam,domain,IPR000719,-,-,Q6PHR2,472
PF04212,MIT (microtubule interacting and transport) domain,pfam,domain,IPR007330,-,-,Q6PHR2,472
PF00152,"tRNA synthetases class II (D, K and N)",pfam,domain,IPR004364,-,-,Q6PI48,645
